,text
25,"Suốt mâythansg vẫn sx đều, bán đều k thu hồi?? Mấy cái này phải xử lý ngay trong ngày chứ sao mà chậm trễ tới vậy"
26,"Luong tam hay luong thang"""
27,Qua tom
28,"Mua 1 lần về ăn cảm nhận có sạn cát và vị tanh, từ đó ko mua nữa."
29,"khuyên ae 1 câu "" Nếu có thể thì Đừng ăn đồ đóng hộp bất cứ loại nào "" kể cả bánh mỳ kẹp bate ngoài chợ.ae chưa thấy nên chưa biết nó kinh khủng ntn đâu. trc bên chỗ t làm có bà bán bánh mỳ bate mà t hay qua đó uống nc rồi cũng quen sau thấy mớ gan mỡ đồ linh tinh bã lấy ngoài chợ về xay làm bate mà tôi ói ngay tại chỗ .nói vậy m.n hiểu rồi chứ"
30,toi moi mua may hop pate ben sieu thi gio nghe pate gia nay nua sao dam an day troi
31,"thay vì bán thịt hộp rẻ hơn, họ lại giữ giá để rồi dư 130 tấn thịt thối 🤣🤣"
32,Khiếp quá
33,Heo giờ  là heo rừng  gà  giờ  là gà vườn  rau  thì  phải  rau  sạch nhà trồng  dcm đồ hộp dẹp  qua  1 bên  đồ công  nghiệp  bỏ  hết sức  khỏe  là trên  hết 😅😅😅
34,Thế mới là nguời Việt Nam
35,B đừng đổi giọng vd nhé nghe hay mà lại có kiến thức.giọng kia nghe ko hay.
36,Sợ quá vì lợi nhuận mà ...hazz
37,"Thảo nào hồi xưa ăn phải cái thứ này xong bị đau bụng, cứ nghĩ cơ thể dị ứng với pate nên ko ăn nữa"
38,❤❤❤🎉🎉🎉người  Việt giết  người Việt  ❤❤❤❤🎉🎉🎉🎉
39,Giờ đồ giả nhiều lắm kể cả công ty uy tín
40,"Haha chết ụ con pit đi. Hốc cho lắm vào, tả cho hay vào."
41,kinh di
42,bây ơi trước cái hôm thông báo cái thông tin hộp đấy t có ăn pate r sau đó 2 ngày t mới bt từ trên báo á :((
43,o viet nam la vay
44,"haha, vẫn là rút kinh nghiệm, vẫn là bài học sâu sắc à 
nói chứ cái gốc phải giải quyết là cái gì? ai cũng biết những đ ai dám nói ra, kênh này cũng thế, và báo đài cđm vẫn lên bantumlum 'đồ ăn nước tao ngon rẻ nhất'"
45,Đất nước an toàn nhất thế giới đây sao 😂
46,"Mới mua 2 hộp pate gan, nhà ăn hết 1 hộp thì nghe tin. Mịe nó, danh tiếng bao nhiu năm mà như thế. May thỉnh thoảng mới ăn"
47,"Tàn hại, đầu độc đồng bào để làm giàu. Tội này ở Trung Quốc là dựa cột rồi."
48,Bọn này phải tử hình giết cả một thế hệ trẻ mình ko ăn nhưng mà nghĩ thôi đã thấy kinh thương cho người tiêu dùng
49,"Hồi nhỏ tui ăn heo lác gì đó trong hộp xong sau đỏ người nổi mẫn đỏ như mề đay xong từ đó về sau không ăn đồ đóng hộp từ thịt, lâu lâu có ăn cá mòi, mà sau chuyện này thì ngưng ăn xúc xích , xiên bẩn với mấy món ăn nhanh tiện lợi thôi, bây giờ vì lợi ích mà đánh đổi 1 thương hiệu 60 năm tuổi còn được vậy không chắc mấy thương hiệu mới mọc nhỏ lẻ không dám làm"
50,Nó là Hải Phòng mà!??? Đừng ns Hạ Long nx
51,Đã là làm ăn lớn. K có ai là trong sạch cả. Vụ này cũng chỉ là tẳng băng trôi thôi
52,Rút kinh nghiệm.... kkkk
53,Lỗi tại ai ai ai
54,Nchung là cx lỡ ăn r
55,Bắt tử hình hết để răn đe kể khác
56,"Quả pate t mới biết cách đây 1 năm,ăn đâu đó được 3 4 hộp j đó,đcm :)))"
57,"t thề là hồi trước t bị nghiện cái xúc xích bò màu cam của hạ long á , t ngon điên mà bây h ko ăn nổi nữa"
58,"nên tử hình mấy thằng thanh tra 😅 ! bên đài loan người ta cấm pate của hạ long từ năm 2019 ! vậy mà báo đài , thanh tra ăn hối lộ ngậm mồn im ru hết , nên tử hình mấy thể loại này !"
59,Chính phủ cần phải có luật xử lý bọn sản xuất thực phẩm bẩn ôi thiu
60,k the tin dc nhung gi toi bo vao mom nua roi
61,Vậy ai chịu trách nhiệm cho sức khỏe của người tiêu dùng
62,"Mõm người chứ mõm chó dell đâu mà cm đi chửi ngta, ăn thấy ngon thì ngta bảo ngon. Mang cho cm 2 hộp pate khéo thách cả lò nhà cm cũng chả biết hộp nào là pate cột đèn âdy chứ"
63,Thằng nào vừa ăn trắc ói máu
64,"Mấy vụ bánh mì bị đau bụng nhập viện ngộ độc liệu có liên quan mấy cái pate này? Mình mua bm ngoài đường toàn k lấy pate, vì ăn cứ chột bụng."
65,Dưa Leo lại chuẩn bị có thêm content về người miền Bắc rồi =))
66,Ở VN muốn ăn sạch uống sạch thì tự làm thôi. Chứ khuất mắt trông coi. Nhiều vấn nạn có BH giải quyết triệt để đâu.giám sát hay iso gì đó ở sứ này chỉ là hình thức...
67,Anh hai mình đi từng ăn pate cột đèn và mua loại đắt và may mắn ko bị sao
68,K bao giờ ăn pate xúc xích
69,Tui chỉ mua pate này 1 lần. Ăn chừng nửa hộp r cho chó ăn 4 hộp còn lại. Tui thấy ăn  k ngon 😂
70,Vụ này đơn giản mà giải ngân là đc hết 😂😂
71,Thực phẩm tốt nhất là tự mình làm ra. Tự cung tự cấp
72,"Tởm, kiếp sau đừng đầu thai nữa là tốt"
73,Ngày nào cx ăn 2 hộp😭
74,Chuẩn bị 1 loạt đất của CAN thành dự án bđs của Nợ Vãi Lòn. Nếu không thì dân đen cứ tiếp tục ăn đồ hộp nhiễm bệnh như không có gì xảy ra.
75,"0:23 lại miền bắc , haizz"
76,Mấy đứa đã ăn và khen ngon đâu r vào đây mà xem
77,những thành phần ntn đáng bắn
78,"kiểu cđm vn mình bị chết não ấy,tìm người đổ lỗi,nói cho sướng cái mồm r thôi mà k nghĩ đến tại sao thực phẩm v mà vẫn đc cấp giấy an toàn vs thực phẩm,các tiktoker,nhà hàng cũng chỉ là người tiêu dùng như mình,lúc kí quảng cáo hay review thì dựa cx trên giấy tờ và hương vị do hạ long cung cấp,đâu thể kêu t review nên phải cho t vào xưởng để check đc"
79,Đây phải vui vẻ khum
80,"Mấy con gà mấy bạn ăn cũng vậy đó, gà nó chết chả hiểu vì bênh hay gì nó làm thịt rồi đóng gói hút chân không bỏ tủ đông có chúa mới biết chuyện gì xảy ra"
81,"Cmn tháng 10 tui ăn 1 hộp pate, nguyên ngày đấy cả người tui khó chịu vô cùng, cứ nghĩ là do sáng ăn no thoi😭 cay vl"
82,chắc chắn là làm heo bẩn cho người dân mua ăn rất rất nhiều nhiều chục năm .mà đến bây giờ mới bị phát hiện ra.đề nghị nhà nước lôi mấy người này ra khai đao xử trảm với tội danh : Người Việt hại người việt.
83,Cơ quan an toàn thực phẩm sao không thấy trách nhiệm.hãy chỉ biết ăn lương ăn hối lộ còn dân sống chết mặt bay.
84,Xác định con sâu này ko chỉ làm rầu nồi canh mà sang 2026 sẽ là khủng hoảng của thực phẩm
85,CHE DO PHONG BI DAN HA NOI CHET LA LIET
86,"Mai là gia đình tôi không có thói quen ăn đồ hộp,"
87,Việc nghiêm trọng thế này thsu thấy sợ đồ ăn làm sẵn quá 😢
88,"tôi tự hỏi tiền thuế nuôi 1 đám Cục quản lý thị trường, an toàn thực phẩm bao nhiêu nay để làm gì"
89,"Cơ địa của tui thật kỳ lạ, không bao giờ ăn được thực phẩm chế biến sẵn đặc biệt là đồ hộp. Vì mỗi lần ăn xong là đầu bị đau như búa bổ từ 12giờ cho đến 24 giờ tự hết, trong thời gian đó uống thuốc gì cũng không hết đau."
90,"Hên không ăn, không bao giờ ăn đồ hộp kiểu gì mấy đồ hộp chẳng có tắt trách, chẳng qua công an họ chưa bắt chứ ngoài kia còn cả đống sự tiêu cực chưa bị bắt"
91,T chưa bao giờ tin vào thịt hộp cả. Mua thịt ngoài chợ còn không ăn thua còn mua mấy cái đồ đóng hộp chế biến đủ loại gia vị
92,"Bác Tô rừng, bác mì 9 đã Đớp mọi người Chục hộp pate và khen ngon"
93,"nghe nói bên đài loan năm 2019 cũng có vụ đồ hộp hạ long này,tính ra năm đó ông nào quản lý phế vật thật sự.giờ các cụ mới lên làm gánh còng cả lưng :)"
94,mình thấy ăn vẫn ngon nên kh hiểu chê cái gì
95,clip của bạn là clip đầu tiên nó nói đến cái độ trễ nữa năm này do do là do do : truyền thông cố tình sơ xuất nên moi người mới thắc măc ?  15 ngìn thành phẩm thì bạn cũng như mọi người không có thông tin gì hết !
96,"Bậy nhé phải nói cho rỏ
Là cho mấy thằng giàu ăn 
Chứ nghèo ai mà mua nên chết mấy thằng giàu trước vì nó thượng đẳng phải ăn cái đó mới sứng tầm"
97,Tóm tắt cho những ai lười xem : Vẫn là đồ hộp nhưng qua miệng ông Lóng thì nó thành tư liệu lịch sử
98,nhà dột từ nóc nếu ko xử lý đc cái cốt lõi thì mọi vấn đề đều cố thể xảy ra
99,Tử hình cho những người coi thường pháp luật. Và những cấp giấy phép bao che để tồn tại quá lâu.
100,Clip kol làm từ 2023 2024 thì đính chính cmm hả ad
101,Doanh nghiệp tham quan hàng tỷ đồng gây ảnh hưởng sức khỏe người tiêu dùng nhưng chỉ phạt hành chính vài trăm triệu thì cái giá quá rẻ nên họ mới dám làm. Nếu VN phạt nặng những người đầu cơ trục lợi thì đố ai dám làm việc xấu. Tệ nạn cũng giảm.
102,Tự hào hàng VN nữa đi các bé.
103,Anh lóng bạn bè với vui vẻ hả😂
104,"Cứ bảo Trung Quốc hại, nhưng toàn dân ta hại dân mình. Vì đồng tiền mà bất chấp, đạo đức nghề nghiệp không có. Người chịu thì lại là người tiêu dùng vì quá tin tưởng, biết bao nhiêu người sử dụng, từ già trẻ, lớn bé. Bởi bảo sao ung thư VN nó cao là vậy. Cái gì cũng làm giả, làm từ sản phẩm kém chất lượng, nào là sữa, patê, mỹ phẩm, thực phẩm chức năng. Đúng là toàn những doanh nghiệp, những người nổi tiếng, lợi dụng điều đó để làm những thứ vô đạo đức. Rất thất vọng và mất niềm tin vào sản phẩm...."
105,Omg may quá hết tiền nên chưa dám mua pate hehe
106,K chỉ riêng doanh nghiệp này ở HLong😂
107,Tự hào mà nói tôi và gđ chưa bao giờ ăn sản phẩm mang tên Cột Đèn
108,lợn chết trại cho không đội thương lái. đội thương lái chỉ cần thuê xe + xe nâng để bốc lợn chết đi thôi.
109,"Well tưởng mấy cái đồ hộp này ngta làm bẩn là đương nhiên cơ =)))) ý là đây là VN có kiểm định moẹ gì đâu, đồ xay nhuyễn ra rồi thì đương nhiên là hàng thải hàng đầu thừa đuôi thẹo hàng chả ra gì nó mới xay vào cho cả lò ăn chứ ngon sạch đẹp nó ra chợ ra siêu thị cho các vị lựa rồi :D nên từ bé tới giờ các vị k được thầy cô bố mẹ dạy là hạn chế ăn đồ hộp nhất có thể à? Đến mèo nhà tôi còn chả cho ăn pate đóng gói nữa là người"
110,Cả 1 vụ lớn như vậy mà dính có vài người thì là chốt thí rồi
111,"tụi m biết sao bị bắt k vì nuôi béo r nên bắt kkkkkk chứ bth t nghe bảo điều tra vn hay vc k gì giấu dc thì chỉ có một khả năng biết mà để đấy cho nó ăn nhiều r thịt kkkkk, còn dân đen trong thời gian đấy xui thì phải chịu."
112,"Bảo sao mấy năm gần đây cứ phát động kêu đẻ, tiêu hao người quá mà =))"
113,gây hại sức khỏe nghiêm trọng đến nhiều người t mà xử t cho tiêm thuốc hết
114,cái tôi khó hiểu nhất là cục an toàn thực phẩm ở đâu
115,Mọi ng đang hướng vào các công ti nhưng t đang thắc mắc là bộ vệ sinh an toàn thực phẩm khúc này thì ở đâu nhỉ 😅
116,may ong cung cap giay dau nhi
117,ủa sao giọng kênh này giống hệt giọng của ô the reviewer vậy anh em ?
118,"5 6 năm về trước đài loan đã cảnh báo rồi nhưng bưng bít thông tin rồi tiếp tục sản xuất, đúng ác vì tiền bất chấp tính mạng đồng loại thua loài thú. Tụi bây tự tin giàu để làm gì mà bản tánh thua con thú nữa, thiên lôi sẽ dòm ngó tụi bây"
119,Rồi vợ con nhà nó có bị bắt nhốt chung ko ta. Tiền nó đầu độc xh có chia mà tao ko phục.
120,Đề nghị tử hình
121,Giọng giống vui vẻ thế
122,Lạ vl ngta review ngta cũng ăn mà dân ngu đòi giải thích 😂
123,"Đù moé ! Bao năm méo ăn đồ hộp, hôm vừa rồi ăn thử luôn 😅 del"
124,"Đồ hộp Hạ Long từng bị dính phốt sản phẩm nhập khẩu Đài Loan nhiễm dịch tả heo Châu Phi, và cái phốt này nó tận ở năm 2019, có nghĩa công ty này sử dụng nguồn nguyên liệu bẩn không phải ngày một ngày hai"
125,"tháng 11 vừa r mk mới ăn thử lần đầu tiên, điểm kì nhất là nó siêu nhiều tiêu lúc đó cũng thắc mắc mà giờ thì hiểu tại sao rồi"
126,Đéo hiểu kiểu gì mà bọn CP nó thoát được
127,7:10 sai thứ tự pop up =)))
128,"Thằng nào leak thông tin gia đình nó ra, tọng hết pate vào họng vợ con cha mẹ nó"
129,Giờ tin mỗi ăn cùng bà tuyết
130,"đm, tự dưng làm xấu hình ảnh quê hương"
131,"Kỷ nguyên vươn mình
Sợ thật"
132,Thôi nào t từng ăn nó 1 năm trước mà😭😭😭
133,CP thấy lên báo có kết quả điều tra là ko vi phạm rồi
134,"Nếu m đã đăng video đưa tin thì m phải chịu trách nhiệm với thông tin m đưa. Chứ đừng chỉ thêm câu “tổng hợp từ nhiều nguồn nên nếu sai các bạn đính chính”.

Còn một khi m chưa chắc chắn hoặc không dám chịu trách nhiệm về thông tin m đưa ra, thì đừng đăng video."
135,"Mấy tháng điều tra này thì họ đã tuồn tiền đi nơi khác rồi , giờ chỉ là cái vỏ rỗng cổ phiếu có bị rớt đáy cũng chẳng sao"
136,Tử hình
137,Chửi tiktoker là hơi oan cho họ. Brand nó có báo trước cho tiktoker biết đây là lợn dịch đâu. Ngta review dựa vào lịch sử lâu đời của thương hiệu và hương vị sp thôi
138,ad né gì. cái này là ơn của các quan đấy. từ trên xuống dưới luôn. 1- dịch người dân báo lên thì các quan bảo tự xử lý (nhà t luôn xong đến vôi để tiêu hủy cũng phải tự bỏ tiền) 2- vận chuyển được ra khỏi vùng dịch thì kiểm dịch và công an trách nhiệm. 3- trách nhiệm cao nhất thuộc về quản lý nhà nước
139,Có bao nhiêu cán bộ sẽ âm thầm nghỉ việc đây
140,"Mình hỏi ngu 1 tí nhé, tả lợn trâu phi nhưng mình ăn cá đóng hộp có s k ạ😅"
141,dang an pate...
142,"=)) cha phai vu khong dau , nhma thuc ra do an lien no ban het . Hao hao cung vay . Truoc me minh quen co x lam thanh tra ve sinh an toan thuc pham , di vao nha may hao hao bao la ban thi vcl luon."
143,"2 năm trước tui mua xong để nhà quên ăn cái mấy tiếng sau có nấm mẹ rồi, tôi làm về mở ra hoảng hồn , thôi vứt mua hãng khác"
144,"Thằng nào kiểm tra an toàn vệ sinh thực phẩm mà cho thông qua đc cũng lạy luôn, khéo mua bằng hay đút lót cả r"
145,Cũng hên là ko ăn thực phẩm của các công ty miền bắc😂
146,"Hên 22 năm cuộc đời mik mới ăn có 10 hộp à mà thấy ngon thiệt ,giờ bt tin ời mik sẽ k ăn nữa"
147,Bị đài loan dí 2019 nên mang về cho đồng bào hưởng quả là không thịt nào ngon bằng thịt
148,Chung ko đều thì lộ thoi😂
149,"Ở KOL họ quảng cáo thôi chứ liên quan gì nhỉ? Thương hiệu uy tín như này thì ai cũng sẽ tin tưởng mà quảng cáo thôi. Đáng trách là Cả hệ thống quản lý thị trường để lọt cả con khủng long thế này, ko trách KOL được."
150,"Đừng có mà lợi ích chi phí gì cả. Tham là tham và ác là ác, xem mạng người như cỏ rác."
151,"Không phải chỉ đơn thuần là đồ hộp, đồ hộp Hạ Long là sự kết hợp giữa sự tinh tế trong chế biến và tình yêu thương của người dân vùng biển. Trong 14 phút, bạn sẽ được dẫn dắt qua quy trình sản xuất tỉ mỉ, cùng những bí quyết làm nên hương vị đặc trưng, để thấy rằng đằng sau mỗi hộp đồ hộp là cả một hành trình đầy tự hào."
152,"Bảo sao nhiều người giàu thế... 
Có cán bộ còn ăn cả thịt người cơ mà..."
153,Ăn uống lành mạnh nói không với đồ hợp gần 2 năm nay cũng là 1 điều may mắn
154,Đang ăn dở thì :(((
155,"Thiết nghĩ giờ ăn cái gì thì anh em cũng đi xét nghiệm đi cho chắc =))))) tung lên mạng cho giang cư mận cùng nhau tham khảo, nhiều người cùng đóng góp kết quả, cùng xây dựng thị trường tiêu dùng an toàn"
156,quả này sập luôn
157,"Cổ phiếu nó cô đặc, đéo có tính thanh khoản thì sàn hay trần chả mang ý nghĩa gì lớn."
158,"diệt chủng ,,,, đỉnh cao trí tuệ ,, của xã hội xuống hố lũ ,đúng quy trình ,,,của backe vc"
159,dạo này lm ăn kiểu gì á
160,Vì vị trí địa lý và nơi ở từ ngày đẻ ra đến giờ mình k bao giờ ăn đồ hộp! Nhà trồng gì nuôi gì ăn nấy! 😂😂😂
161,"Hèn gì bên nước ngoài ít mua đồ Việt Nam. Bởi vì họ sợ làm gian dối và giấy tờ không đúng. Lũ này,để cho người tiêu dùng ăn rồi bị gì cũng kệ. Tiền là U Tiên cũng bọn này. Nên tử hình hết bọn này đi, vì biết bao nhiêu người ăn phải rồi sau này bị bệnh gì ai chịu trách nhiệm ?"
162,Đợt bão lũ vừa rồi cả nhà có con nhỏ ăn toàn pate của hãng này. Phát hiện từ hồi tháng 8 mà giữ tới tháng 1 mới đưa tin. Quá sức tệ hại. Ko thể nào yên tâm mua thực phẩm công nghiệp cho gia đình ăn được nữa.
163,Công ty đồ hộp Hạ Long là cty nhà nước
164,Cp cũng thế mà chả thấy ai tẩy chay. Toàn bọn sính ngoại
165,Tại sao phát hiện vụ việc từ tháng 9/2025 rồi mà đến tháng 1/2026 quả bom truyền thông mới nổ? Không lẽ có chuyện cơ quan chức năng cố ý giấu nhẹm thông?
166,"5:11 mà nói như này thì...
HIV nó chỉ gây suy giảm hệ miễn dịch thôi chứ có phải bệnh chít người éo đâu mà lo . Mắc HIV không thực sự tệ như mọi người nghĩ đâu ("")>"
167,Mình từng mua ăn cách đây hơn 1 tháng. Không biết có bị làm sao không nữa 🥲
168,Thì ngon ng ta nói ngon chứ thịt chế biến thành pate r biết gì mà xin lỗi
169,Lương Tâm con người không còn ở xứ đông Lào
170,Cơ quan nhà nước nào đứng sau vụn này?
171,"Mọi người có để ý ko, xưa, Giá đỗ ăn cọng nào cũng múp tròn rễ cực ngắn... Sau 2025 nhiều vụ cơ sở sn giá bị phát hiện dùng hóa chất cấm và bị xử lý hình sự... và hiện tại các bạn đi ăn ngoài thị trường gặp toàn giá cọng dài, rễ dài.... tác động giảm rất mạnh lượng hóa chất trong Giá đỗ."
172,ngày xưa anh Núi mà được vào làm nhà máy cá hộp thì chắc giờ đã không có chuyện này
173,"Toàn mấy anh ở trên im ỉm, bị phanh phui ra xong mới công bố 
Trong khi nước nhập khẩu ngta đã xác nhận thực phẩm nguy hiểm, thế mấy anh an toàn thực phẩm ko check hả? Hay đóng tiền đầy đủ r cho qua th 😂😂"
174,Đề nghị kiểm soát thành tra toàn bộ nghành chế biến thực phẩm tại Việt Nam Từ nhỏ lẻ cho đến ông lớn CP vừa qua bị công nhân tố giác với những hình ảnh liên bị dịch tả châu phi nhìn ghê rợn vậy mà nó lại được biến thành việc làm đúng từ giấy tờ các cuộc thanh tra nhà nước đồng thời tố ngược lại anh công nhân Dũng cảm có tâm là sai .
175,Tẩy chay không dùng đồ hộp Hạ Long này nữa để nó khỏi sản xuất luôn
176,"Theo mình đây là nước cờ sai lầm và quá tệ của êkip đứng đầu, khối ngoại rút vốn và những ban bệ nắm giữ thay đổi khiến những người trước giờ không nắm rõ về sản xuất đồ hộp, thiếu đạo đức và đội ngũ tư vấn quá tệ nên dùng cách này để giải quyết khủng hoảng nội bộ. Họ phải trả giá thôi. Nhưng những kẻ bưng bít từ tháng 9/2025 cũng phải trả giá cho tội lỗi của họ. Vậy mới công bằng đạo trời."
177,Tôi tin đồ trung của hơn đồ VN.
178,"tui đang thích ăn giò chả của meatdeli lắm, nên mong hãng này uy tín😢"
179,.
180,Cái này là bao nhiêu năm á
181,Khủng khiếp
182,"Việt Nam sản xuất thức ăn chả thứ j có vệ sinh thực phẩm. 
Cán bộ kiểm tra vệ sinh thực phẩm đa phần ăn hối lộ, bởi vậy mới có vụ thịt nhiễm độc  Dịch Châu Phi."
183,"Ông lâm,  bắt hết, từ sữa giả vào bệnh viện Lớn 108 còn vào được, vẫn đề ở đây là Nó đút lót Nó làm mấy chục năm rồi trót lọt, không ngờ Ông lâm bắt hết"
184,Hên quá nhà nghèo toàn ăn mì tôm ko chứ ko có mua top ping này nọ😅😅😅
185,"ăn vô bị đau bụng tiêu chảy với mắc ói nên bỏ luôn từ hồi 2023-24, mà đợt viral tiktok dữ tưởng uy tín... thương hiệu việt giờ thua cả trung quốc. nhục thật sự 😷"
186,"Thì cái bọn làm ăn kinh doanh toàn thế. Số ng nghĩ cho cộng đồng chẳng bằng cái móng tay của bọn thất đức. Khi lợi ích gần bão hoà thì nó làm đủ mọi chiêu trò để giảm vốn nhưng tăng lợi ích. Quan trọng là cái bọn để hàng như này tuồn ra xã hội kìa. Cái bọn đấy mới đáng giết hơn. Ngồi giữa đớp lợi thôi. Có chuyện thì doanh nghiệp chịu, sức khoẻ thì ng tiêu dùng chịu. Ng dân như mình cũng khổ. Có phải ai cũng đầy đủ dụng cụ và kiến thức để tra đến từng thành phần trong đấy là tốt hay xấu đâu? Vậy nên tiền cúng cho tụi này vẫn phải chi, và tiền chữa bệnh cũng chẳng thể chối bỏ. Vậy nên giờ chỉ có thể khuyên 1 điều, hãy ăn vừa đủ thôi, đừng tham ăn chỉ vì nó ngon. Hãy ăn những món quen thuộc, đừng ăn chỉ vì nó độc lạ, nếu vẫn muốn, hãy chỉ thử cho biết chứ đừng để nó thành món tủ. Trước sau gì thì cũng chết, nhưng hãy chọn cách chết đến chậm hơn và an toàn cho cả sức khoẻ lẫn ví tiền của bản thân hơn."
187,"Rùa thần hiện lên… giặc đang ngồi sau lưng nhà ngươi đấy 😅 Những thế hệ công dân bệnh tật, ung thư.. thì làm sao xây dựng bảo vệ được đất nước?"
188,Bữa nào thấy tiktok bán nhiều pate cột đèn hải phòng vãi bảo sao giờ k thấy bán nữa may mình k mua lần nào
189,không nuốt trôi lời giải thích của High land được. Đúng là lợi ích tiền bạc là trên hết. Uy tín danh tiếng chỉ là thứ để đổi lấy tiền bạc.
190,"Thực sự là “lợi ích tối thiểu
                   Lợi nhuận tối đa”😓✌️🥀💔"
191,Giám đốc Đồ hộp Hạ Long quê Quảng Ninh. Mình là người Hải Phòng nhưng mà cứ nghĩ công ty này ở bên đấy cơ
192,Khi sống trong xhcn đặc biệt là ở việt nam 🇻🇳 hay china 🇨🇳 thì cẩm nang trong cuộc sống là không mua bất cứ cái gì được soạn xuất trong nước hoặc tin tưởng bất cứ lời nói gì của h..???
193,Hic năm 3 đại học có đứa bạn có người quen công ty đồng hồ Hạ Long xin mãi mới được mấy cái file kế toán tài chính cũ hồi đấy có tiếng lắm 😂 cái nem rế của công ty này nhưng mà ăn cũng chẳng ra sao thật
194,Hic. Mình ăn cả năm cũng gần 15 hộp pate. Huhu
195,Công ty này làm ăn gian dối từ lâu rồi bây giờ mới bị lộ mặt gian đúng là đồ bác..dậy…
196,"cái ngày ăn miếng xúc xích mà ăn gần hết mới biết nấm mốc mọc ở đầu bên kia thì mình đã hiểu tại sao ba mẹ luôn bắt mình nấu cơm, tự đứng bếp :}}}"
197,"tử hình, cmn"
198,Giờ chắc chỉ có tự trồng rau nuôi cá mà ăn chứ mua đồ ngoài chợ cũng sợ chứ nói gì đồ hộp 😅
199,chỗ anh núi xin vào làm đúng không =))
200,may mình ăn 1 lần k hợp nên k ăn luôn
201,"70 năm bọn cộng sản biến chất 👍 biết tuốt, bọn còn lại 💩 bị mù câm điếc bại liệt ❗"
202,CÂU HỎI NÊN ĐƯỢC QUAN TÂM LÀ VAI TRÒ CỦA NHÀ NƯỚC Ở ĐÂU?
